run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_openrouter_20260729T151754743152,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151754743152,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T151754743152,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151754743152,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T151754743152,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T151754743152,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,missing_tool_call,clarify,timeline,False,False,False,missing tool call clarify; extra tool call timeline
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,missing_tool_call,clarify,send,False,False,False,missing tool call clarify; extra tool call send
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news'; topic: expected 'news', got None"
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,unexpected_tool_call,no_tool,send,False,False,False,expected no tool call
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_openrouter_20260729T154110443549,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_openrouter_20260729T155606736900,v1,v1+p5ae268b8b686+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,missing_tool_call,lookup,social_search,False,False,False,missing tool call lookup; extra tool call social_search
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R01_user_tweets_routing,False,wrong_tool,missing_tool_call,timeline,clarify,False,False,False,missing tool call timeline; extra tool call clarify
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,M03_correction_handle,True,wrong_arg_value,wrong_arg_value,timeline,timeline,False,True,False,"screenname: expected 'karpathy', got 'andrejkarpathy'"
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_openrouter_20260729T160947892470,v2,v2+p5ae268b8b686+t795a052d0cf6,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G01_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G02_out_of_scope_math,False,out_of_scope,,no_tool,,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G03_wrong_boundary_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G04_missing_url,False,missing_info,missing_tool_call,clarify,lookup,False,False,False,missing tool call clarify; extra tool call lookup
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G05_wrong_arg_lookup,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G06_multiturn_clarify_handle_timeline,True,wrong_tool,,timeline,timeline,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G07_multiturn_clarify_url_fetch,True,wrong_arg_value,,fetch,fetch,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G08_multiturn_confirm_send_yes,True,wrong_boundary,,send,send,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G09_multiturn_confirm_send_no,True,wrong_boundary,,no_tool,,True,True,True,
v2_B_group_openrouter_20260729T163556290213,v2,v2+p5ae268b8b686+t795a052d0cf6,group,G10_multiturn_unnecessary_tool_after_math,True,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_openrouter_20260729T163755861406,v3,v3+p5ae268b8b686+te27f3243bac2,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v4_B_base_openrouter_20260729T165319641222,v4,v4+p5ae268b8b686+t67f516eca1ca,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G01_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G02_out_of_scope_math,False,out_of_scope,,no_tool,,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G03_wrong_boundary_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got 'text'"
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G04_missing_url,False,missing_info,missing_tool_call,clarify,lookup,False,False,False,missing tool call clarify; extra tool call lookup
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G05_wrong_arg_lookup,False,wrong_arg_value,,lookup,lookup,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G06_multiturn_clarify_handle_timeline,True,wrong_tool,,timeline,timeline,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G07_multiturn_clarify_url_fetch,True,wrong_arg_value,,fetch,fetch,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G08_multiturn_confirm_send_yes,True,wrong_boundary,,send,send,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G09_multiturn_confirm_send_no,True,wrong_boundary,,no_tool,,True,True,True,
v4_B_group_openrouter_20260729T165405998572,v4,v4+p5ae268b8b686+t67f516eca1ca,group,G10_multiturn_unnecessary_tool_after_math,True,unnecessary_tool,,no_tool,,True,True,True,
